"sf1" "sf2" "sf3" "sp1" "sp2" "sp3"
"TRINITY_DN24802_c0_g1_i1" 4 4 0 0 0 0
"TRINITY_DN24835_c0_g1_i1" 0 0 6 0 0 0
"TRINITY_DN24824_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN24831_c0_g1_i1" 0 8 2 0 0 0
"TRINITY_DN24884_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN24858_c0_g1_i1" 2 0 0 6 0 0
"TRINITY_DN24806_c0_g1_i1" 2 2 0 0 0 0
"TRINITY_DN24871_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN24855_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN24860_c0_g1_i1" 0 4 2 0 0 0
"TRINITY_DN24804_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN24808_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN24892_c0_g1_i1" 6 2 2 0 2 0
"TRINITY_DN24843_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN24889_c0_g1_i1" 2 4 2 0 2 4
"TRINITY_DN24846_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN24807_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN24836_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN24885_c0_g1_i1" 2 0 8 0 0 0
"TRINITY_DN24862_c0_g1_i1" 0 0 0 0 2 0
"TRINITY_DN24830_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN24818_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN24879_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN24853_c0_g1_i1" 2 10 4 4 0 0
"TRINITY_DN24899_c0_g1_i1" 6 0 2 0 0 0
"TRINITY_DN24891_c0_g1_i1" 4 0 0 0 2 4
"TRINITY_DN24825_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN24897_c0_g1_i1" 0 4 0 4 0 2
"TRINITY_DN24828_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24852_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN24801_c0_g1_i1" 2 4 0 2 2 2
"TRINITY_DN24896_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN24821_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24888_c0_g1_i1" 0 0 0 2 0 2
"TRINITY_DN24877_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN24856_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24873_c0_g1_i1" 0 0 6 0 0 0
"TRINITY_DN24816_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN24827_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN24845_c0_g1_i1" 0 2 0 0 0 2
"TRINITY_DN24844_c0_g1_i1" 4 4 0 0 0 0
"TRINITY_DN24810_c0_g1_i1" 20 0 30 6 4 4
"TRINITY_DN24851_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24898_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN24864_c0_g1_i1" 2 2 4 2 0 0
"TRINITY_DN24834_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24866_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN24865_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN24803_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN24832_c0_g1_i1" 2 4 0 0 0 0
"TRINITY_DN24863_c0_g1_i1" 2 0 4 2 0 0
"TRINITY_DN24882_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN24841_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24829_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24887_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24813_c0_g1_i1" 0 0 8 0 0 0
"TRINITY_DN24895_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN24840_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN24823_c0_g1_i1" 0 0 16 0 0 0
"TRINITY_DN24847_c0_g1_i1" 8 0 6 6 0 2
"TRINITY_DN24837_c0_g1_i1" 0 2 0 2 0 0
"TRINITY_DN24880_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN24800_c0_g1_i1" 16 2 4 0 0 0
"TRINITY_DN24886_c0_g1_i1" 4 0 0 2 0 2
"TRINITY_DN24869_c0_g1_i1" 2 2 12 0 0 0
"TRINITY_DN24819_c0_g1_i1" 2 2 0 6 0 0
"TRINITY_DN24815_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN8315_c0_g1_i4" 8 0 0 2 0 2
"TRINITY_DN8315_c0_g1_i5" 16 62 26 10 6 0
"TRINITY_DN8364_c0_g1_i1" 328 382 148 192 96 92
"TRINITY_DN8364_c0_g2_i1" 366 602 300 330 160 156
"TRINITY_DN8394_c0_g1_i1" 124 136 326 56 28 50
"TRINITY_DN8378_c0_g1_i1" 36 50 26 12 4 2
"TRINITY_DN8378_c0_g1_i3" 6 4 4 0 0 2
"TRINITY_DN8354_c1_g1_i1" 4684 4958 4464 2800 1856 1896
"TRINITY_DN8328_c0_g1_i1" 262 172 334 128 58 28
"TRINITY_DN8328_c0_g2_i1" 254 102 308 120 40 38
"TRINITY_DN8393_c1_g1_i2" 4634 5454 4082 3148 1580 1730
"TRINITY_DN8349_c0_g1_i2" 174 104 326 96 20 20
"TRINITY_DN8356_c1_g1_i1" 2208 3288 488 2316 1218 1384
"TRINITY_DN8347_c0_g1_i1" 120 340 88 8 18 6
"TRINITY_DN8335_c0_g1_i2" 356 534 400 188 104 120
"TRINITY_DN8371_c0_g1_i1" 440 320 1662 28 26 24
"TRINITY_DN8371_c0_g2_i1" 14 18 6 0 0 2
"TRINITY_DN8309_c0_g1_i1" 144 322 130 134 86 84
"TRINITY_DN8309_c0_g1_i2" 4 14 4 6 2 0
"TRINITY_DN8309_c0_g1_i3" 6 22 2 0 2 0
"TRINITY_DN8367_c1_g1_i2" 5174 6932 5208 4308 3094 2790
"TRINITY_DN8399_c0_g1_i1" 4 2 0 952 468 458
"TRINITY_DN8359_c0_g1_i2" 178 104 140 72 40 38
"TRINITY_DN8322_c0_g1_i1" 70 178 84 16 16 20
"TRINITY_DN8322_c0_g1_i4" 56 106 36 28 16 20
"TRINITY_DN8398_c0_g1_i1" 2 0 2 0 0 4
"TRINITY_DN8398_c0_g1_i2" 18 24 52 8 4 6
"TRINITY_DN8312_c0_g2_i2" 204 398 708 266 96 88
"TRINITY_DN8304_c0_g1_i3" 10 10 6 4 2 4
"TRINITY_DN8304_c0_g1_i4" 6 2 14 4 0 6
"TRINITY_DN8325_c1_g1_i3" 1028 1610 798 138 84 124
"TRINITY_DN8325_c1_g2_i1" 232 492 252 178 68 52
"TRINITY_DN8395_c0_g1_i1" 1464 2842 1382 706 364 332
"TRINITY_DN8303_c1_g1_i1" 2508 4254 2676 3178 1468 1230
"TRINITY_DN8387_c1_g2_i1" 3792 5770 1924 2478 1986 1808
"TRINITY_DN8387_c1_g3_i1" 604 1136 506 244 152 144
"TRINITY_DN8345_c1_g1_i1" 42 58 22 26 28 10
"TRINITY_DN8345_c1_g4_i1" 698 1036 584 784 470 464
"TRINITY_DN8345_c1_g5_i1" 14 50 22 18 22 16
"TRINITY_DN8345_c1_g6_i1" 6 10 16 22 10 4
"TRINITY_DN8345_c1_g6_i2" 118 120 102 68 58 56
"TRINITY_DN8308_c0_g1_i2" 456 860 554 264 116 122
"TRINITY_DN8308_c0_g2_i2" 38 84 36 18 6 6
"TRINITY_DN8336_c1_g1_i1" 32 58 34 62 16 48
"TRINITY_DN8336_c1_g1_i5" 422 438 446 362 112 186
"TRINITY_DN8360_c1_g2_i1" 404 622 444 352 130 164
"TRINITY_DN8360_c1_g3_i1" 424 522 342 452 362 384
"TRINITY_DN8360_c1_g7_i1" 250 380 252 238 114 182
"TRINITY_DN8360_c1_g8_i1" 70 170 82 84 32 38
"TRINITY_DN8360_c1_g17_i1" 166 156 120 166 120 140
"TRINITY_DN8361_c0_g1_i1" 28 30 48 10 10 2
"TRINITY_DN8361_c0_g1_i2" 4 4 18 0 2 4
"TRINITY_DN8390_c0_g1_i1" 124 374 76 24 10 8
"TRINITY_DN8383_c0_g1_i1" 2786 3190 2436 1794 1054 980
"TRINITY_DN8383_c0_g2_i1" 4 24 12 8 4 0
"TRINITY_DN8383_c0_g2_i2" 8 10 4 2 0 2
"TRINITY_DN8314_c0_g1_i4" 8 2 14 2 12 2
"TRINITY_DN8314_c0_g1_i5" 2 8 4 4 2 0
"TRINITY_DN8369_c0_g1_i1" 14 8 0 4 0 0
"TRINITY_DN8369_c0_g1_i2" 30 14 2 2 0 0
"TRINITY_DN8353_c1_g1_i1" 2962 3212 3634 2396 1740 2012
"TRINITY_DN8324_c2_g1_i1" 3544 3420 3468 2998 1842 1918
"TRINITY_DN8319_c1_g1_i1" 218 322 194 166 100 92
"TRINITY_DN8319_c1_g2_i1" 2 0 0 0 0 0
"TRINITY_DN8319_c1_g5_i1" 0 0 0 0 0 0
"TRINITY_DN8332_c1_g1_i2" 12546 15476 10582 11306 5922 5992
"TRINITY_DN8368_c0_g1_i1" 16 12 22 28 4 6
"TRINITY_DN8368_c0_g1_i3" 2 0 4 0 2 0
"TRINITY_DN8376_c1_g1_i1" 2120 2438 1950 1150 486 598
"TRINITY_DN8376_c1_g2_i1" 3438 4992 3616 3534 2252 2278
"TRINITY_DN8337_c0_g1_i2" 52 84 118 90 58 50
"TRINITY_DN8397_c1_g1_i1" 10518 14132 6304 9118 5462 5312
"TRINITY_DN8362_c0_g1_i2" 4 0 0 0 0 0
"TRINITY_DN8362_c0_g1_i7" 0 0 0 0 0 0
"TRINITY_DN8362_c0_g1_i9" 6 8 16 6 2 0
"TRINITY_DN8362_c0_g1_i10" 0 0 0 0 0 0
"TRINITY_DN8362_c0_g1_i11" 0 0 0 0 0 2
"TRINITY_DN8362_c0_g1_i12" 2 4 2 0 0 0
"TRINITY_DN8362_c0_g1_i14" 0 0 0 0 0 0
"TRINITY_DN8362_c0_g1_i15" 0 2 0 4 0 0
"TRINITY_DN8374_c0_g1_i1" 268 292 296 188 104 102
"TRINITY_DN8330_c0_g1_i3" 90 134 120 36 28 14
"TRINITY_DN8330_c0_g1_i4" 22 18 4 6 4 6
"TRINITY_DN8330_c0_g1_i5" 242 320 110 168 88 116
"TRINITY_DN8358_c0_g1_i1" 142 228 118 46 32 6
"TRINITY_DN8339_c1_g2_i1" 6352 5566 1766 1262 1154 602
"TRINITY_DN8339_c1_g2_i2" 40 26 6 16 2 0
"TRINITY_DN8339_c1_g2_i3" 804 1018 224 228 134 82
"TRINITY_DN8389_c0_g1_i1" 78 138 238 10 12 8
"TRINITY_DN8381_c1_g1_i1" 4408 5920 3710 5662 3982 3744
"TRINITY_DN8318_c0_g1_i1" 18 34 16 12 0 4
"TRINITY_DN8318_c0_g1_i2" 6 24 2 6 0 0
"TRINITY_DN8351_c0_g1_i1" 2 12 0 0 0 0
"TRINITY_DN8351_c0_g1_i3" 6 16 14 4 0 0
"TRINITY_DN8326_c0_g1_i2" 56 102 32 80 52 46
"TRINITY_DN8326_c0_g1_i3" 38 44 32 66 42 32
"TRINITY_DN8311_c2_g1_i2" 1818 2974 2394 3382 1664 1572
"TRINITY_DN8343_c2_g1_i1" 15626 19582 10590 15170 10848 10364
"TRINITY_DN8302_c2_g1_i1" 40950 35060 27922 36818 28386 27344
"TRINITY_DN8334_c0_g1_i1" 282 580 372 248 60 52
"TRINITY_DN8301_c0_g1_i1" 238 296 188 52 42 28
"TRINITY_DN8301_c0_g2_i1" 26 12 98 6 0 4
"TRINITY_DN8310_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN8310_c0_g1_i3" 0 0 0 0 0 0
"TRINITY_DN8310_c0_g1_i4" 126 190 192 130 38 60
"TRINITY_DN8310_c0_g2_i1" 0 0 0 0 0 0
"TRINITY_DN8310_c0_g3_i1" 106 104 150 36 12 10
"TRINITY_DN8363_c1_g1_i1" 4994 6442 3232 2710 2078 2018
"TRINITY_DN8363_c1_g2_i1" 7652 8808 4906 4052 3214 3210
"TRINITY_DN8372_c0_g1_i1" 12 0 0 4 4 2
"TRINITY_DN8372_c0_g1_i2" 8 16 0 10 2 0
"TRINITY_DN8382_c0_g1_i2" 4 8 22 2 0 0
"TRINITY_DN8382_c0_g1_i4" 2 2 2 0 0 0
"TRINITY_DN8382_c0_g2_i1" 0 4 0 2 6 0
"TRINITY_DN8365_c0_g1_i1" 1012 1884 926 688 298 284
"TRINITY_DN8391_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN8391_c0_g2_i1" 70 184 84 60 16 24
"TRINITY_DN8391_c0_g4_i1" 106 186 158 54 24 32
"TRINITY_DN8305_c2_g1_i1" 3204 3504 3060 2012 1412 1570
"TRINITY_DN8386_c0_g1_i1" 4 4 0 0 2 2
"TRINITY_DN8386_c1_g1_i1" 4 0 10 360 212 248
"TRINITY_DN8386_c1_g1_i2" 42 18 72 224 92 112
"TRINITY_DN8377_c0_g1_i2" 10 8 14 8 0 2
"TRINITY_DN8377_c0_g1_i3" 10 10 14 6 2 4
"TRINITY_DN8377_c0_g1_i5" 0 2 2 8 0 0
"TRINITY_DN8323_c0_g1_i1" 166 230 108 746 680 574
"TRINITY_DN8344_c0_g1_i1" 490 706 526 274 120 118
"TRINITY_DN8344_c0_g2_i1" 306 500 314 198 74 78
"TRINITY_DN8321_c0_g1_i1" 354 526 248 176 142 140
"TRINITY_DN8321_c0_g1_i3" 12 6 16 2 0 0
"TRINITY_DN8321_c0_g1_i4" 12 2 24 6 2 2
"TRINITY_DN8341_c0_g1_i1" 440 388 274 268 116 76
"TRINITY_DN8341_c0_g2_i2" 128 98 88 52 14 14
"TRINITY_DN8350_c0_g1_i2" 298 272 486 236 150 114
"TRINITY_DN8313_c0_g1_i1" 1112 1568 926 742 482 538
"TRINITY_DN8300_c0_g1_i2" 398 628 152 286 98 100
"TRINITY_DN8366_c0_g1_i1" 0 2 2 902 496 448
"TRINITY_DN8320_c1_g1_i1" 2502 2858 1914 1676 766 818
"TRINITY_DN8307_c1_g1_i2" 6 8 6 2 2 4
"TRINITY_DN8307_c1_g3_i4" 15470 20492 12012 11736 9578 9024
"TRINITY_DN8307_c1_g4_i1" 14 24 16 2 2 0
"TRINITY_DN8342_c0_g1_i1" 758 730 658 496 226 218
"TRINITY_DN8357_c1_g1_i1" 258 448 244 150 82 66
"TRINITY_DN8357_c1_g2_i1" 10736 12370 11700 14162 8624 8144
"TRINITY_DN8396_c1_g1_i1" 12394 13912 8586 9680 5740 6392
"TRINITY_DN8396_c1_g2_i1" 32 22 8 16 12 10
"TRINITY_DN8327_c0_g1_i1" 462 536 630 410 186 224
"TRINITY_DN8380_c0_g1_i5" 0 0 0 0 0 0
"TRINITY_DN8380_c0_g1_i6" 10 32 12 0 2 2
"TRINITY_DN8380_c0_g1_i7" 6 12 4 0 0 0
"TRINITY_DN8340_c0_g1_i2" 180 182 188 130 58 52
"TRINITY_DN8385_c1_g1_i2" 1644 2072 1404 1364 728 844
"TRINITY_DN8316_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN8316_c0_g1_i2" 2 0 6 6 2 0
"TRINITY_DN8316_c0_g1_i3" 2 4 0 2 4 2
"TRINITY_DN8392_c0_g1_i1" 666 800 764 460 302 208
"TRINITY_DN8392_c0_g2_i1" 0 8 0 0 0 0
"TRINITY_DN8306_c0_g1_i1" 104 96 152 62 10 18
"TRINITY_DN8306_c1_g1_i1" 172 168 624 144 46 78
"TRINITY_DN8333_c0_g1_i1" 274 260 96 30 2 10
"TRINITY_DN8388_c2_g1_i1" 1184 1410 1120 640 310 310
"TRINITY_DN8388_c2_g2_i1" 432 396 270 376 194 264
"TRINITY_DN8331_c0_g1_i4" 1046 1588 784 624 434 452
"TRINITY_DN8348_c0_g1_i1" 680 1790 416 26 20 20
"TRINITY_DN8379_c1_g1_i1" 4268 7204 5504 4688 3346 3346
"TRINITY_DN8317_c0_g1_i1" 1138 1874 1062 134 104 94
"TRINITY_DN8317_c0_g2_i1" 2720 3394 2048 1656 1062 1120
"TRINITY_DN8338_c0_g1_i1" 58 210 130 10 2 0
"TRINITY_DN8355_c1_g1_i1" 726 656 960 620 290 374
"TRINITY_DN8346_c1_g1_i1" 42 56 36 16 8 6
"TRINITY_DN8346_c1_g1_i2" 16 14 10 16 10 12
"TRINITY_DN8346_c2_g1_i1" 24 12 34 12 8 8
"TRINITY_DN8346_c2_g1_i2" 42 46 18 6 6 6
"TRINITY_DN8329_c0_g1_i1" 200 292 280 80 34 32
"TRINITY_DN8375_c1_g1_i1" 4892 6658 3910 5386 2792 2458
"TRINITY_DN8370_c0_g1_i1" 18 34 16 8 2 6
"TRINITY_DN8370_c0_g1_i2" 6 10 20 0 0 0
"TRINITY_DN8352_c0_g1_i1" 1572 2618 726 1290 796 800
"TRINITY_DN8352_c0_g2_i1" 2448 4428 1256 1974 1244 1282
"TRINITY_DN8352_c0_g3_i1" 0 0 0 0 2 0
"TRINITY_DN8384_c1_g1_i1" 2262 3118 2568 2564 1652 1724
"TRINITY_DN8373_c3_g8_i1" 2 0 0 0 0 0
"TRINITY_DN8373_c3_g9_i1" 0 4 4 2 4 6
"TRINITY_DN8373_c3_g9_i2" 14 24 20 6 10 6
"TRINITY_DN8373_c3_g11_i1" 6 6 4 6 2 2
"TRINITY_DN8373_c3_g13_i1" 0 0 0 0 0 0
"TRINITY_DN8373_c3_g16_i1" 0 0 0 0 0 2
"TRINITY_DN8373_c3_g27_i1" 2 18 10 10 12 6
"TRINITY_DN8373_c3_g28_i2" 0 0 0 0 0 0
"TRINITY_DN8373_c3_g32_i1" 2 2 4 2 0 0
"TRINITY_DN8373_c3_g38_i1" 0 0 0 0 0 0
"TRINITY_DN25663_c0_g1_i1" 2 4 10 0 0 2
"TRINITY_DN25613_c0_g1_i1" 4 0 0 4 2 0
"TRINITY_DN25660_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN25616_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25667_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25662_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN25686_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25657_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25646_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN25676_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN25677_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25685_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN25652_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25680_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25603_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN25619_c0_g1_i1" 0 0 4 4 2 0
"TRINITY_DN25668_c0_g1_i1" 6 20 0 4 4 0
"TRINITY_DN25605_c0_g1_i1" 0 0 2 2 0 2
"TRINITY_DN25682_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25642_c0_g1_i1" 0 2 2 0 0 0
"TRINITY_DN25643_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25697_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25699_c0_g1_i1" 4 0 0 2 0 0
"TRINITY_DN25637_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25644_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN25651_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25606_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN25649_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25621_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN25690_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25671_c0_g1_i1" 4 14 4 0 0 2
"TRINITY_DN25650_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25656_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN25634_c0_g1_i1" 2 26 2 0 0 2
"TRINITY_DN25683_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25635_c0_g1_i1" 6 0 4 6 4 2
"TRINITY_DN25698_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25647_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25672_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN25653_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN25636_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25655_c0_g1_i1" 0 0 0 2 2 0
"TRINITY_DN25678_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25641_c0_g1_i1" 0 2 0 0 2 0
"TRINITY_DN25638_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25630_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25654_c0_g1_i1" 0 2 0 2 0 0
"TRINITY_DN25626_c0_g1_i1" 0 2 2 0 0 0
"TRINITY_DN25674_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN25632_c0_g1_i1" 0 6 4 2 0 0
"TRINITY_DN25696_c0_g1_i1" 0 4 0 0 0 0
"TRINITY_DN25614_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN25615_c0_g1_i1" 0 0 6 2 0 0
"TRINITY_DN25615_c1_g1_i1" 4 0 10 0 0 0
"TRINITY_DN25631_c0_g1_i1" 0 0 0 2 0 2
"TRINITY_DN25627_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN25623_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN25670_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25694_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN25625_c0_g1_i1" 2 10 0 0 0 0
"TRINITY_DN25693_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN25669_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25633_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN25609_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25601_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25611_c0_g1_i1" 6 0 0 0 0 0
"TRINITY_DN25695_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25666_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN25673_c0_g1_i1" 2 0 4 2 0 0
"TRINITY_DN25664_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN25658_c0_g1_i1" 0 0 6 0 0 2
"TRINITY_DN25629_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN25608_c0_g1_i1" 0 4 0 0 0 0
"TRINITY_DN25692_c0_g1_i1" 2 2 0 0 0 0
"TRINITY_DN25600_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN25679_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25689_c0_g1_i1" 0 6 0 0 0 0
"TRINITY_DN25622_c0_g1_i1" 6 0 0 2 0 0
"TRINITY_DN25620_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25665_c0_g1_i1" 2 0 0 2 2 2
"TRINITY_DN25612_c0_g1_i1" 4 0 4 0 0 0
"TRINITY_DN25604_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN25640_c0_g1_i1" 2 2 0 2 0 0
"TRINITY_DN25624_c0_g1_i1" 2 6 6 0 0 0
"TRINITY_DN25684_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25687_c0_g1_i1" 8 0 0 0 0 0
"TRINITY_DN25659_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN25661_c0_g1_i1" 0 2 0 0 2 0
"TRINITY_DN25610_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25618_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN25602_c0_g1_i1" 0 2 0 0 0 2
"TRINITY_DN25607_c0_g1_i1" 2 0 4 0 0 0
"TRINITY_DN25617_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN25628_c0_g1_i1" 6 0 0 0 0 0
"TRINITY_DN25681_c0_g1_i1" 4 0 0 0 0 2
"TRINITY_DN25675_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN25648_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN25645_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN18372_c0_g1_i1" 0 0 0 0 2 0
"TRINITY_DN18314_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18352_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN18365_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN18392_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN18347_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN18308_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18334_c0_g1_i1" 2 0 4 4 0 0
"TRINITY_DN18306_c0_g1_i1" 0 0 0 4 0 0
"TRINITY_DN18383_c0_g1_i1" 0 0 0 2 0 2
"TRINITY_DN18348_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN18323_c0_g1_i1" 6 0 0 2 2 0
"TRINITY_DN18354_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN18363_c0_g1_i1" 0 6 0 0 0 0
"TRINITY_DN18362_c0_g1_i1" 2 0 2 0 0 0
"TRINITY_DN18373_c0_g1_i1" 2 6 2 0 2 0
"TRINITY_DN18343_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN18376_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN18384_c0_g1_i1" 0 0 0 0 0 4
"TRINITY_DN18351_c0_g1_i1" 0 0 4 0 0 0
"TRINITY_DN18399_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN18320_c0_g1_i1" 4 0 0 0 0 0
"TRINITY_DN18333_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18304_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN18341_c0_g1_i1" 0 0 0 4 0 0
"TRINITY_DN18391_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18398_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18336_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN18331_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN18386_c0_g1_i1" 2 0 0 2 0 0
"TRINITY_DN18311_c0_g1_i1" 2 6 2 0 0 0
"TRINITY_DN18309_c0_g1_i1" 0 0 2 0 2 0
"TRINITY_DN18380_c0_g1_i1" 0 0 0 0 0 2
"TRINITY_DN18349_c0_g1_i1" 4 0 6 2 0 0
"TRINITY_DN18303_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN18395_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN18318_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18335_c0_g1_i1" 0 0 0 2 0 0
"TRINITY_DN18329_c0_g1_i1" 2 0 0 0 2 0
"TRINITY_DN18356_c0_g1_i1" 0 0 0 0 0 0
"TRINITY_DN18338_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18374_c0_g1_i1" 2 0 0 0 2 0
"TRINITY_DN18368_c0_g1_i1" 0 0 2 0 0 0
"TRINITY_DN18371_c0_g1_i1" 0 2 0 0 0 0
"TRINITY_DN18390_c0_g1_i1" 4 0 2 0 0 0
"TRINITY_DN18385_c0_g1_i1" 2 0 0 0 0 0
"TRINITY_DN18300_c0_g1_i1" 8 0 14 2 0 0
"TRINITY_DN18322_c0_g1_i1" 0 0 0 0 0 0
